plotnumber,sourceyr,ecoregion,ecoregion_title,ecodistr,ecodistr_title,ecosite,ecosite_title,ecosite_soil_component,mean_tree_age_year,dominanttree,dominantshrub,dominantherb,dominantcryptogam,laivascular,laitotal,position,slope_position_title,aspect,aspect_cardinal,slope,slope_class_degrees_title,drainage,drainage_title,seepage,elevation_m,mr,soil_moisture_class_title,pm,parent_material_title,order_soil,soil_order_title,grgroup,soil_great_group_title,subgrp,soil_subgroup_title,cf_percent_120,particlesizeclassname_dom_0_30,depth_to_bedrock_cm,depth_to_water_table_cm,depth_to_root_restricting_cm,depth_of_organic_matter_cm,total_live_cover_percent,unknown_taxa_total_cover_percent,number_of_taxa_after_transform,calcareous_0_30,leaf_litter,needle_litter,rock,soil,water,woody_debris,broadleaf_tree,needleleaf_tree,broadleaf_overstory_tree,broadleaf_sapling,broadleaf_seedling,needleleaf_overstory_tree,needleleaf_sapling,needleleaf_seedling,shrub_cover,floating_aquatic_cover,forbs_and_graminoids,bryophytes_and_lichens,submerged_aquatic
711,2001,BP,Boreal Plain,E12,La Plonge Plain,BP4,Jack pine - trembling aspen/feathermoss,Moderately fresh sand,60.83333206,PINUBAN,ALNUCRI,LYCOCOM,PLEUSCH,208.2,254.1,7,Level,999,L,1,0 – 0.5 degrees,3,Well,0,507,3,Moderately Fresh,3,Morainal,5,Brunisolic,8,"Eutric				",ELU,Eluviated,58,Sandy,NA,NA,NA,8,225.35,3.25,30,non-calcareous,3,1.75,0,0,0,6.5,20,70.68,20,0,0,69.63,0,3.49,54.29,0,1.25,54.5,0
723,2001,BP,Boreal Plain,E12,La Plonge Plain,BP19,Black spruce treed bog,Moderately wet fibric organic,51.5,PICEMAR,LEDUGRO,EQUISYL,PLEUSCH,165.4,252.3,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,1,508,6,Moderately Moist,1,Fluvial,5,Brunisolic,8,"Eutric				",GEL,Gleyed Eluviated,1,Sandy,NA,11,NA,20,235.35,1,23,non-calcareous,0,0,0,0,0,0.5,0,57.93,0,0,0,0,50,15.85,65.62,0,0.5,79.25,0
724,2001,BP,Boreal Plain,E12,La Plonge Plain,BP19,Black spruce treed bog,Moderately wet fibric organic,59,PICEMAR,LEDUGRO,EQUISYL,PLEUSCH,122.95,218.8,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,1,483,9,Moderately Wet,7,Organic,1,Organic,2,Mesisol,TER,Terric,21,Organic Mesic,NA,32,NA,54,236,2,25,non-calcareous,0,0,0,0,0,0.5,0,49.83,0,0,0,0,39.38,17.25,53.64,0,0.5,100,0
728,2001,BP,Boreal Plain,E12,La Plonge Plain,BP14,Black spruce/Labrador tea/feathermoss,Very moist sandy clay loam,NA,PICEMAR,LEDUGRO,GRAMSPP,PLEUSCH,84,170.16,7,Level,999,L,1,0 – 0.5 degrees,3,Well,1,497,4,Fresh,3,Morainal,5,Brunisolic,8,"Eutric				",ELU,Eluviated,6,Sandy,NA,60,NA,7,178.01,0.25,22,non-calcareous,0,0,0,0,0,0.5,0,40.28,0,0,0,0,39.38,1.5,38.2,0,0,93.76,0
730,1999 2000,BP,Boreal Plain,E15,Smoothstone Plain,BP14,Black spruce/Labrador tea/feathermoss,Very moist sandy clay loam,NA,PICEMAR,LEDUGRO,EQUISCI,HYLOSPL,181.705,208.105,7,Level,999,L,1,0 – 0.5 degrees,6,Poor,1,532,8,Very Moist,7,Organic,2,Gleysolic,5,Gleysol,REG,Rego,0,LFH,NA,100,NA,40,213.51,3,21,non-calcareous,0,0,0,0,0,10,0,92.19,0,0,0,87.5,37.5,0,21.05,0,34.76,32.5,0
733,2002,BP,Boreal Plain,G10,Sturgeon River Plain,BP6,Trembling aspen/beaked hazel/sarsaparilla,Fresh loamy sand,58.5,POPUTRE,CORYCOR,RUBUPUB,BRYOSPP,123.14,124.14,2,Upper Slope,306,W,4,5.0 – 9.0 degrees,3,Well,0,502,4,Fresh,1,Fluvial,4,Luvisolic,7,"Gray						",BRU,Brunisolic,4,Loamy,NA,NA,NA,12,132.8,1.51,39,non-calcareous,87.5,0,0,0,0,15,64.72,0,63.63,3,0,0,0,0,30.67,0,24.76,4.5,0
736,2002,BP,Boreal Plain,G10,Sturgeon River Plain,BP3,Jack pine/feathermoss,Moderately fresh loamy sand,73.5,PINUBAN,ROSAACI,MAIACAN,PLEUSCH,67.27,147.07,7,Level,999,L,1,0 – 0.5 degrees,1,Very rapid,0,522,2,Moderately Dry,1,Fluvial,5,Brunisolic,8,"Eutric				",ORT,Orthic,61,Sandy,NA,NA,NA,6,157.23,0.5,34,non-calcareous,0.5,6.5,0,0,0,3,0,43.75,0,0,0,37.5,10,0,12.98,0,8.76,87.25,0
738,2001,BS,Boreal Shield,C1,Athabasca Dunes,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,59.83333206,BETUPAP,LEDUGRO,EQUIARV,PLEUSCH,41.02,48.47,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,0,243,8,Very Moist,6,Eolian,2,Gleysolic,5,Gleysol,ORT,Orthic,0,Loamy,NA,NA,NA,5,63.76,0,35,non-calcareous,75,3,0,0,0,11.5,12.92,15.76,10,3,0.25,10.01,5.91,0.5,5.17,0,13.25,15.5,0
740,2001,BS,Boreal Shield,C1,Athabasca Dunes,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,56,PICEMAR,ALNUCRI,EQUISYL,PLEUSCH,85.81,175.91,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,0,259,8,Very Moist,4,Lacustrine,2,Gleysolic,5,Gleysol,ORT,Orthic,0,Loamy,NA,NA,NA,7,168.13,0.01,26,non-calcareous,11.5,0.5,0,0,0,44,0.5,37.91,0,0.5,0,20,20,2.98,22.56,0,1.5,99.75,0
748,1999 2000,BP,Boreal Plain,E16,Clarke Lake Plain,BP13,White spruce - balsam fir/feathermoss,Fresh sandy clay loam,75.66666412,PICEGLA,ROSAACI,ASTESPP,BRYOSPP,105.81,111.56,2,Upper Slope,180,S,4,5.0 – 9.0 degrees,5,Imperfect,0,525,7,Moist,3,Morainal,4,Luvisolic,7,"Gray						",GLE,Gleyed ,5,Fine-Clayey,NA,NA,NA,21,104.51,1.5,38,non-calcareous,15,0,0,0,0,1.5,20.4,51.91,20,0,0.5,43.75,10,5,5.64,0,11.75,4,0
749,1999 2000,BP,Boreal Plain,E16,Clarke Lake Plain,BP13,White spruce - balsam fir/feathermoss,Fresh sandy clay loam,90.33333588,ABIEBAL,ROSAACI,ARALNUD,BRYOSPP,83.2,92,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,0,510,7,Moist,3,Morainal,4,Luvisolic,7,"Gray						",GLE,Gleyed ,7,Loamy,NA,NA,NA,10,89.75,0.5,40,non-calcareous,50,0,0,0,0,0.5,20.22,35.2,19,0,1.5,28,10,0,3.94,0,12,12.25,0
750,1999 2000,BP,Boreal Plain,E16,Clarke Lake Plain,BP6,Trembling aspen/beaked hazel/sarsaparilla,Fresh loamy sand,63.16666794,POPUTRE,RIBETRI,CORNCAN,PLAGDRU,176,177.7,4,Lower Slope,118,E,2,0.5 – 2.0 degrees,3,Well,0,510,4,Fresh,3,Morainal,4,Luvisolic,7,"Gray						",GLE,Gleyed ,5,Loamy,NA,NA,NA,12,150.25,0.25,46,non-calcareous,28.75,0,0,0,0,6.5,61.42,35.36,57.03,10,0.25,28,10,0.25,8.98,0,15.75,6,0
751,1999 2000,BP,Boreal Plain,E16,Clarke Lake Plain,BP7,Trembling aspen - white birch/sarsaparilla,Fresh loamy sand,30,POPUTRE,RUBUIDA,ARALNUD,BRYOSPP,248.545,252.345,2,Upper Slope,45,N,5,9.0 – 15.0 degrees,3,Well,0,579,4,Fresh,5,Glacial-lacustrine,4,Luvisolic,7,"Gray						",ORT,Orthic,21,Fine-Clayey,NA,NA,NA,20,251.54,4.505,44,non-calcareous,87.5,0,0,0,0,0,92.99,23.25,92.19,10,0.25,10,10,5.24,14.82,0,59.77,15.5,0
757,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS12,White spruce/crowberry/feathermoss,Moderately fresh sand,122.75,PICEGLA,VACCVIT,PYROSEC,HYLOSPL,102.9,175.75,1,Crest,999,L,1,0 – 0.5 degrees,2,Rapid,0,249,3,Moderately Fresh,3,Morainal,5,Brunisolic,6,Sombric,ELU,Eluviated,18,Sandy,NA,NA,NA,13,179.91,0,30,non-calcareous,28.75,28.75,0,0,0,10,0,72.3,0,0,0,62.5,19,8.8,0.25,0,9.5,78.75,0
758,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,62.75,BETUPAP,VACCMYR,ARALNUD,PARMSUL,89.855,92.055,2,Upper Slope,320,N,3,2.0 – 5.0 degrees,2,Rapid,0,261,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",DUR,Duric,24,Sandy,NA,NA,NA,20,107.4,0,34,non-calcareous,87.5,0,0,0,0,3,43.82,0,5.91,39.38,1.51,0,0,0,31.74,0,14.75,9.25,0
759,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS14,White birch/lingonberry - Labrador tea,Moderately dry sand,65.16666412,BETUPAP,LEDUGRO,CORNCAN,CLADTUR,124.12,125.52,7,Level,999,L,1,0 – 0.5 degrees,2,Rapid,0,245,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Loamy,NA,NA,NA,5,129.52,0,28,non-calcareous,62.5,28.75,0,0,0,3,42.41,18.69,3,37.5,5,3,12.71,3.97,43.29,0,8.26,6.5,0
760,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,65.25,PINUBAN,VACCVIT,GEOCLIV,CLADSPP,175.5,179.4,2,Upper Slope,270,W,3,2.0 – 5.0 degrees,2,Rapid,0,251,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,4,160.25,0.5,25,non-calcareous,19,37.5,0,0,0,20,33.98,60.94,31.25,3,1,37.5,37.5,0,33.09,0,3.5,13.25,0
761,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,58,PINUBAN,ARCTUVA,GEOCLIV,CLADMIT,35.4,46.05,2,Upper Slope,220,S,5,9.0 – 15.0 degrees,2,Rapid,0,243,2,Moderately Dry,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,5,69,0.5,24,non-calcareous,0.5,50,0,0,0,6.5,0,28,0,0,0,10,20,0,4.93,0,1,33,0
762,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS13,White birch - black spruce - trembling aspen,Moderately fresh sand,61.33333206,PICEMAR,VACCVIT,GEOCLIV,BRYOSPP,114.06,118.56,2,Upper Slope,260,W,2,0.5 – 2.0 degrees,3,Well,0,236,4,Fresh,4,Lacustrine,5,Brunisolic,9,"Dystric			",ELU,Eluviated,0,Sandy,NA,NA,NA,8,113.76,0,31,non-calcareous,75,3,0,0,0,15,35,21.82,18.75,20,0.01,3,19,0.5,31.23,0,3.5,15.75,0
764,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS14,White birch/lingonberry - Labrador tea,Moderately dry sand,92,BETUPAP,VACCMYR,ARALNUD,CLADMIT,67.71,79.16,2,Upper Slope,340,N,5,9.0 – 15.0 degrees,1,Very rapid,0,244,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",DUR,Duric,68,Gravelly,NA,NA,NA,18,90.67,0,26,non-calcareous,62.5,0.5,10,0,0,6.5,37.5,8.73,0,37.5,0,5.91,3,0,17.25,0,5.51,20.75,0
765,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,94.5,PICEMAR,LEDUGRO,GEOCLIV,CLADSTE,83.855,229.205,3,Mid Slope,328,N,7,> 30.0 degrees,2,Rapid,0,233,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,15,Loamy,30,NA,30,21,170.85,0,25,non-calcareous,3,0.5,0,0,0,3,11.1,35.65,5,5,1.5,28,3,7.85,9.51,0,1.75,100,0
768,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS7,Black spruce/blueberry/lichen,Moderately dry sand,76.5,PICEMAR,LEDUGRO,NA,CLADMIT,36.36,134.21,2,Upper Slope,360,N,3,2.0 – 5.0 degrees,2,Rapid,0,242,2,Moderately Dry,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,18,Sandy,NA,NA,NA,9,125.75,0,23,non-calcareous,3,0.5,1.5,5,0,3,0,9.19,0,0,0,3,3,3.49,26.55,0,0,88,0
769,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS5,Jack pine - white birch/feathermoss,Moderately dry sand,87.5,PINUBAN,LEDUGRO,GEOCLIV,CLADMIT,38.01,57.61,3,Mid Slope,320,N,6,15.0 – 30.0 degrees,1,Very rapid,0,254,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,33,Gravelly,NA,NA,NA,11,76.01,0,31,non-calcareous,3,3,6.5,0,0,11.5,6.85,23.95,0,5.91,1,20,3,2,7.32,0,0.5,36,0
771,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS17,Black spruce treed bog,Very moist mesic organic,65,PICEMAR,LEDUGRO,RUBUCHA,PLEUSCH,73.86,108.26,7,Level,999,L,1,0 – 0.5 degrees,7,Very poor,0,239,9,Moderately Wet,7,Organic,1,Organic,2,Mesisol,TER,Terric,3,Organic Fibric,NA,20,NA,60,165.01,0,21,non-calcareous,10,1.75,0,0,0,6.5,0,12.71,0,0,0,0,10,3.01,35.7,0,23.75,89.5,0
773,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS10,Black spruce - white birch/feathermoss,Fresh sand,NA,PICEMAR,LEDUGRO,EQUISYL,BRYOSPP,120.765,157.265,6,Depression,999,L,1,0 – 0.5 degrees,6,Poor,0,244,8,Very Moist,4,Lacustrine,7,Cryosolic,16,Static,GLE,Gleyed ,0,Coarse-Silty,NA,59,NA,10,114.36,5.25,32,non-calcareous,3,3,0,0,0,15,3.49,24.73,0,3,0.5,0,22.4,3,20.2,0,3.51,60.25,0
774,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,45,BETUPAP,VACCMYR,LINNBOR,CLADMIT,170.51,226.51,3,Mid Slope,354,N,3,2.0 – 5.0 degrees,2,Rapid,0,248,3,Moderately Fresh,3,Morainal,5,Brunisolic,6,Sombric,ELU,Eluviated,44,Sandy,NA,NA,NA,3,199.69,0,30,non-calcareous,45.25,15,5,0,0,5.25,38.9,64.84,31.25,0,11.13,10,37.5,37.5,3.24,0,0.76,68.25,0
775,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,40.5,PINUBAN,VACCMYR,NA,CLADMIT,58.9,118.05,4,Lower Slope,300,W,4,5.0 – 9.0 degrees,2,Rapid,0,249,2,Moderately Dry,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,1,Sandy,NA,NA,NA,4,118.5,0,21,non-calcareous,0,11.5,5,0,0,5.25,0,37.5,0,0,0,0,37.5,0,11.8,0,0,69,0
776,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,96.59999847,POPUTRE,VACCMYR,EPILANG,DICRPOL,114.58,119.78,3,Mid Slope,178,S,5,9.0 – 15.0 degrees,2,Rapid,0,238,3,Moderately Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,12,Loamy,NA,NA,NA,6,132.22,0.5,41,non-calcareous,75,3,1.5,0,0,3,30.85,3,20,10.45,3.48,3,0,0.01,54.9,0,10.51,17.25,0
778,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,82.25,POPUTRE,ALNUCRI,GEOCLIV,PLEUSCH,146.96,150.16,1,Crest,999,L,1,0 – 0.5 degrees,3,Well,0,238,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,11,Coarse-Silty,NA,NA,NA,8,142.16,0,30,non-calcareous,87.5,0,0,0,0,15,47.87,5.91,43.75,3.01,4.45,0,3,3,55.55,0,2.75,9.25,0
779,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,92,PINUBAN,VACCMYR,CYPRACA,CLADSPP,80.24,127.64,2,Upper Slope,350,N,3,2.0 – 5.0 degrees,3,Well,0,245,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,36,Loamy,NA,NA,NA,3,131.92,0,22,non-calcareous,6.5,41.25,5.005,0,0,3,9.23,13.6,0,3,6.43,12.7,0.5,0.53,46.88,0,0.01,56.25,0
780,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS13,White birch - black spruce - trembling aspen,Moderately fresh sand,87.40000153,BETUPAP,ALNUCRI,EPILANG,CLADCYA,115.85,118.35,2,Upper Slope,190,S,7,> 30.0 degrees,1,Very rapid,0,255,2,Moderately Dry,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,30,Sandy,NA,NA,NA,13,111.74,0.25,32,non-calcareous,62.5,0,1.5,0,0,6.5,27.46,3,10,19,0.5,0,3,0,50.37,0,5,11.75,0
783,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS15,Trembling aspen - white birch/green alder,Moderately fresh loamy sand,96,BETUPAP,VACCMYR,CORNCAN,CLADMIT,76.41,93.41,4,Lower Slope,270,W,2,0.5 – 2.0 degrees,2,Rapid,0,251,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,22,Sandy,NA,NA,NA,8,112.51,0,41,weakly calcareous,62.5,0.5,0,0,0,3,47.47,0.5,12.7,39.38,0.75,0,0,0.5,22.43,0,5.25,29.5,0
784,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,98,PINUBAN,ARCTUVA,GEOCLIV,CLADSPP,30.11,40.86,2,Upper Slope,10,N,3,2.0 – 5.0 degrees,2,Rapid,0,253,3,Moderately Fresh,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,13,Sandy,NA,NA,NA,2,57.01,0,26,non-calcareous,0.5,28.75,11.5,0,0,23.75,0.01,19.41,0,0,0.01,10,10,0.5,7.32,0,3,26,0
785,2001,BS,Boreal Shield,C6,Squirrel Lake Plain,BS10,Black spruce - white birch/feathermoss,Fresh sand,69.5,BETUPAP,VACCVIT,NA,PLEUSCH,43.77,79.27,2,Upper Slope,360,N,3,2.0 – 5.0 degrees,3,Well,0,245,4,Fresh,3,Morainal,5,Brunisolic,9,"Dystric			",ELU,Eluviated,20,Loamy,NA,NA,NA,16,97.93,0,31,non-calcareous,19,0.5,3,0,0,10,12.7,19.17,10,3,0.01,3,10,7.41,12.01,0,0,52,0
788,1999 2000,BP,Boreal Plain,E16,Clarke Lake Plain,BP18,Black spruce - tamarack treed swamp,Wet humic organic,44.75,LARILAR,LEDUGRO,CARESPP,PLEUSCH,125.6,189.7,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,0,525,8,Very Moist,4,Lacustrine,4,Luvisolic,7,"Gray						",GLE,Gleyed ,0,Fine-Clayey,NA,90,NA,36,193.75,5.25,31,non-calcareous,0,18.75,0,0,0,5,0,78.91,0,0,0,76.56,10,0,1.99,0,3.75,78,0
789,1999 2000,BP,Boreal Plain,E16,Clarke Lake Plain,BP18,Black spruce - tamarack treed swamp,Wet humic organic,54,LARILAR,LEDUGRO,CARESPP,PLEUSCH,137.695,157.645,7,Level,999,L,1,0 – 0.5 degrees,5,Imperfect,1,525,8,Very Moist,4,Lacustrine,4,Luvisolic,7,"Gray						",GLE,Gleyed ,0,Fine-Clayey,NA,95,NA,32,167.54,3.755,32,non-calcareous,0,36.25,0,0,0,3,0,80.47,0,0,0,60.94,50,0,1.25,0,3.77,30,0
790,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS4,Jack pine - black spruce/feathermoss,Moderately dry sand,94.5,PINUBAN,VACCVIT,ARALNUD,PLEUSCH,57.96,108.01,5,Toe Slope,180,S,1,0 – 0.5 degrees,1,Very rapid,0,246,2,Moderately Dry,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,20,Sandy,NA,NA,NA,7,119.76,0,29,non-calcareous,6.5,3,0,0,0,10,0,37.5,0,0,0,37.5,0,0,14.37,0,7.76,59.75,0
791,2003,BP,Boreal Plain,E15,Smoothstone Plain,BP9,White spruce - trembling aspen/feathermoss,Fresh sand,68.59999847,PICEGLA,VIBUEDU,MERTPAN,HYLOSPL,80.44,132.29,2,Upper Slope,196,S,4,5.0 – 9.0 degrees,3,Well,0,479,4,Fresh,4,Lacustrine,4,Luvisolic,7,"Gray						",BRU,Brunisolic,NA,Coarse-Silty,NA,NA,NA,10,136.92,0,28,weakly calcareous,32.75,23.75,0,0,0,20.25,10.45,64.9,10,0,0.5,63.63,3,0.5,0.51,0,1.76,57,0
792,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,96,PICEMAR,LEDUGRO,EQUISYL,PLEUSCH,94.4,172.3,6,Depression,999,L,1,0 – 0.5 degrees,5,Imperfect,0,244,5,Very Fresh,4,Lacustrine,6,Regosolic,10,"Regosol	",GLE,Gleyed ,0,Coarse-Silty,NA,NA,NA,8,203.06,0,27,non-calcareous,3,0.25,0,0,0,10,0,39.53,0,0,0,0,37.5,3.24,49.24,0,2,100,0
793,2003,BP,Boreal Plain,E15,Smoothstone Plain,BP6,Trembling aspen/beaked hazel/sarsaparilla,Fresh loamy sand,59.5,POPUTRE,ROSAACI,ARALNUD,PLEUSCH,152.165,155.165,5,Toe Slope,22,N,1,0 – 0.5 degrees,5,Imperfect,0,452,7,Moist,4,Lacustrine,2,Gleysolic,5,Gleysol,ORT,Orthic,NA,Loamy,NA,NA,NA,22,171.67,0.25,59,very strongly calcareous,87.5,0.5,0,0,0,6.5,65.42,12.7,63.63,3,1.99,10,3,0,14.62,0,58.01,14.75,0
794,2001,BS,Boreal Shield,C7,Fond du Lac Lowland,BS13,White birch - black spruce - trembling aspen,Moderately fresh sand,127.75,POPUTRE,LEDUGRO,PYROSEC,PLEUSCH,81.3,112.1,2,Upper Slope,190,S,4,5.0 – 9.0 degrees,3,Well,0,237,4,Fresh,3,Morainal,4,Luvisolic,7,"Gray						",BRU,Brunisolic,16,Coarse-Silty,NA,NA,NA,9,100.45,0.5,45,non-calcareous,23.75,5.25,1.5,0,0,10,24.7,10.1,3,20.4,2.48,3,3,4.46,26.01,0,2.5,33.5,0
797,2002,BP,Boreal Plain,E15,Smoothstone Plain,BP7,Trembling aspen - white birch/sarsaparilla,Fresh loamy sand,51.33333206,BETUPAP,ROSAACI,ARALNUD,BRYOSPP,294.81,297.01,3,Mid Slope,205,S,4,5.0 – 9.0 degrees,3,Well,0,488,4,Fresh,3,Morainal,4,Luvisolic,7,"Gray						",BRU,Brunisolic,10,Coarse-Silty,NA,NA,NA,9,235.2,0,44,non-calcareous,87.5,0.5,0,0,0,3,81.63,26.07,73.14,31.25,0.5,12.7,3,12.7,6.61,0,63.75,9.75,0
798,2002,BP,Boreal Plain,E15,Smoothstone Plain,BP13,White spruce - balsam fir/feathermoss,Fresh sandy clay loam,75,PICEGLA,ROSAACI,MERTPAN,PTILCRI,187,213.5,4,Lower Slope,150,S,1,0 – 0.5 degrees,3,Well,0,514,4,Fresh,4,Lacustrine,4,Luvisolic,7,"Gray						",ORT,Orthic,0,Coarse-Silty,NA,NA,NA,30,211.44,0.25,47,non-calcareous,50,50,0,0,0,15,38.12,71.52,37.5,0,1,51.5,12.7,32.74,10.75,0,30.25,31.25,0
799,2002,BP,Boreal Plain,E15,Smoothstone Plain,BP7,Trembling aspen - white birch/sarsaparilla,Fresh loamy sand,48.33333206,POPUTRE,ROSAACI,ARALNUD,PTILCRI,230.21,232.21,3,Mid Slope,150,S,3,2.0 – 5.0 degrees,3,Well,0,502,4,Fresh,4,Lacustrine,4,Luvisolic,7,"Gray						",BRU,Brunisolic,0,Loamy,NA,NA,NA,9,210.97,0.25,38,non-calcareous,87.5,36.25,0,0,0,3,93.57,22.21,93.28,3,1.5,10,3,10.9,23.64,0,38,7,0
803,2001,BS,Boreal Shield,C11,Cree Lake Upland,BS3,Jack pine/blueberry/lichen,Moderately fresh sand,68.75,PINUBAN,VACCMYR,NA,CLADMIT,107.75,159.35,2,Upper Slope,130,E,4,5.0 – 9.0 degrees,1,Very rapid,0,507,2,Moderately Dry,1,Fluvial,5,Brunisolic,9,"Dystric			",ELU,Eluviated,49,Sandy,NA,NA,NA,11,148.45,0,25,non-calcareous,0.5,19,0.5,0,0,5.25,0,59.27,0,0,0,28,12.7,35.2,8.82,0,0,61.25,0
804,2001,BS,Boreal Shield,C11,Cree Lake Upland,BS17,Black spruce treed bog,Very moist mesic organic,NA,PICEMAR,LEDUGRO,NA,CLADMIT,61.65,141.8,4,Lower Slope,180,S,3,2.0 – 5.0 degrees,5,Imperfect,0,490,6,Moderately Moist,1,Fluvial,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,9,Sandy,NA,60,NA,5,182.49,0,24,weakly calcareous,0.5,1.5,0.25,0.25,0,5.25,0,24.92,0,0,0,3,20,3.24,29.43,0,0,100,0
805,2001,BS,Boreal Shield,C11,Cree Lake Upland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,74,PICEMAR,LEDUGRO,NA,PLEUSCH,91.365,185.365,4,Lower Slope,2,N,7,> 30.0 degrees,5,Imperfect,0,491,7,Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,44,Sandy,NA,NA,NA,20,192.97,0,20,non-calcareous,3,0.5,0.25,0,0,0.5,0.51,65.25,0,0,0.51,3,62.5,4.46,22.4,0,0,99.5,0
806,2001,BS,Boreal Shield,C11,Cree Lake Upland,BS9,Black spruce - jack pine/feathermoss,Moderately fresh sandy loam,91.75,PICEMAR,VACCMYR,NA,PLEUSCH,69.2,190.15,1,Crest,350,N,2,0.5 – 2.0 degrees,5,Imperfect,0,515,6,Moderately Moist,3,Morainal,5,Brunisolic,9,"Dystric			",GEL,Gleyed Eluviated,42,Coarse-Silty,NA,NA,NA,14,175.48,0,17,non-calcareous,6.5,5.25,0.005,0,0,23.75,4.93,36.68,0,3,1.99,19,19,3.49,22.23,0,0,100,0
807,2002,BP,Boreal Plain,E15,Smoothstone Plain,BP13,White spruce - balsam fir/feathermoss,Fresh sandy clay loam,84.5,BETUPAP,VIBUEDU,ARALNUD,HYLOSPL,172.745,180.145,2,Upper Slope,244,W,3,2.0 – 5.0 degrees,3,Well,0,495,4,Fresh,3,Morainal,4,Luvisolic,7,"Gray						",BRU,Brunisolic,56,Coarse-Silty,NA,NA,NA,13,169.39,0,37,non-calcareous,87.5,11.5,0,0,0,6.5,62.5,66.48,62.5,0,0,3,62.5,7.85,0.01,0,20.27,13.25,0
