province,plant_community_code,plant_community_name_scientific,plant_community_name_common,successional_state,analysis_name,avg_cover_percent,avg_nlog_cover_percent,constancy_percent,prominence_value,nlog_prominence_value
Alberta,CPD15,Artemisia campestris-Calamovilfa longifolia/Populus tremuloides,Plains wormwood/Sand grass/Aspen,Modified plant community,Koeleria_macrantha,2.81,0.99,100,2.81,3.33
Alberta,CPD15,Artemisia campestris-Calamovilfa longifolia/Populus tremuloides,Plains wormwood/Sand grass/Aspen,Modified plant community,Populus_tremuloides,9.53,2.11,100,9.53,4.56
Alberta,CPD15,Artemisia campestris-Calamovilfa longifolia/Populus tremuloides,Plains wormwood/Sand grass/Aspen,Modified plant community,Prunus_virginiana,4.02,1.3,93.3,3.89,3.66
Alberta,CPD15,Artemisia campestris-Calamovilfa longifolia/Populus tremuloides,Plains wormwood/Sand grass/Aspen,Modified plant community,Rosa_woodsii,2.68,0.84,73.3,2.3,3.13
Alberta,CPD15,Artemisia campestris-Calamovilfa longifolia/Populus tremuloides,Plains wormwood/Sand grass/Aspen,Modified plant community,Solidago_missouriensis,1.96,0.65,66.7,1.6,2.77
Alberta,CPD15,Artemisia campestris-Calamovilfa longifolia/Populus tremuloides,Plains wormwood/Sand grass/Aspen,Modified plant community,Spiraea_alba,3.38,1.04,26.7,1.74,2.86
Alberta,CPD15,Artemisia campestris-Calamovilfa longifolia/Populus tremuloides,Plains wormwood/Sand grass/Aspen,Modified plant community,Sporobolus_rigidus,4.66,1.5,100,4.66,3.84
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Achillea_millefolium,0.36,0.1,70,0.3,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Agastache_foeniculum,0.9,0.28,30,0.49,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Amelanchier_alnifolia,5.19,1.54,80,4.64,3.84
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Anemonastrum_canadense,0.45,0.1,40,0.28,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Artemisia_ludoviciana,1.53,0.48,30,0.84,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Bromus_inermis,11.31,2.39,100,11.31,4.73
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Calamagrostis_canadensis,3.6,0.89,50,2.55,3.24
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Carex,7.87,2.04,30,4.31,3.76
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Carex_siccata,13.14,2.54,70,11,4.7
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Chamaenerion_angustifolium,1.23,0.38,40,0.77,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Cornus_sericea,1,0.1,30,0.55,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Crepis_tectorum,0.38,0.11,60,0.3,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Elymus_trachycaulus,3.65,1.22,100,3.65,3.6
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Fragaria_virginiana,1.46,0.48,70,1.22,2.5
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Galium_boreale,4.38,1.31,100,4.38,3.78
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Lathyrus_ochroleucus,0.71,0.12,70,0.6,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Maianthemum_stellatum,1.18,0.34,80,1.05,2.35
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Monarda_fistulosa,1.44,0.38,50,1.02,2.32
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Mulgedium_pulchellum,0.37,0.1,30,0.2,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Oryzopsis_asperifolia,1.5,0.4,30,0.82,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Poa_pratensis,2.95,0.78,100,2.95,3.38
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Populus_tremuloides,6.4,1.6,100,6.4,4.16
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Prunus_virginiana,7.2,1.81,100,7.2,4.28
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Ribes_oxyacanthoides,1.5,0.37,70,1.25,2.53
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Rosa_acicularis,9.94,2.25,50,7.03,4.25
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Rosa_woodsii,8.17,1.98,60,6.33,4.15
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Rubus_idaeus,2.6,0.88,100,2.6,3.26
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Salix_bebbiana,2,0.65,40,1.26,2.54
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Schizachne_purpurascens,1.3,0.41,80,1.16,2.45
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Solidago_canadensis,1.38,0.39,50,0.98,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Symphoricarpos_albus,10.54,2.23,70,8.82,4.48
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Symphoricarpos_occidentalis,19.33,2.96,30,10.59,4.66
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Symphyotrichum_ciliolatum,1.8,0.52,80,1.61,2.78
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Taraxacum_officinale,1.63,0.55,100,1.63,2.79
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Thalictrum_venulosum,3.83,1.12,80,3.42,3.53
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Thermopsis_rhombifolia,0.77,0.2,30,0.42,0.1
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Vicia_americana,1.16,0.28,80,1.04,2.34
Alberta,CPD16,Symphoricarpos occidentalis-Prunus virginiana/Poa pratensis-Bromus inermis/Populus tremuloides,Snowberry-Choke cherry/Smooth brome/Aspen,Modified plant community,Viola_adunca,1.1,0.22,40,0.7,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Achillea_millefolium,1.08,0.3,82.6,0.98,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Agrostis_scabra,0.86,0.23,43.5,0.57,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Amelanchier_alnifolia,6.4,1.68,100,6.4,4.16
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Androsace_septentrionalis,0.22,0.1,39.1,0.14,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Arctostaphylos_uva-ursi,4.59,1.19,34.8,2.71,3.3
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Artemisia_campestris,1.09,0.32,43.5,0.72,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Artemisia_frigida,2.35,0.7,26.1,1.2,2.49
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Artemisia_ludoviciana,0.72,0.17,47.8,0.5,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Bromus_inermis,2.82,0.91,47.8,1.95,2.97
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Calamagrostis_canadensis,1.1,0.35,21.7,0.51,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Campanula_rotundifolia,0.23,0.1,73.9,0.2,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Carex,9.54,2.13,60.9,7.44,4.31
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Carex_siccata,11.68,2.39,39.1,7.3,4.29
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Cerastium_arvense,0.51,0.1,60.9,0.4,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Comandra_umbellata,0.61,0.15,69.6,0.51,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Crepis_tectorum,0.49,0.1,34.8,0.29,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Elaeagnus_commutata,1.28,0.4,21.7,0.6,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Elymus_trachycaulus,2.99,0.94,95.7,2.92,3.37
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Equisetum_hyemale,0.28,0.1,52.2,0.2,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Festuca_hallii,2.75,0.85,91.3,2.63,3.27
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Festuca_saximontana,1.86,0.46,47.8,1.29,2.56
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Fragaria_virginiana,0.96,0.25,69.6,0.8,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Galium_boreale,2.84,0.89,100,2.84,3.35
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Hesperostipa_curtiseta,0.98,0.29,56.5,0.73,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Heterotheca_villosa,0.78,0.18,26.1,0.4,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Koeleria_macrantha,1.52,0.46,65.2,1.23,2.51
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Lathyrus_ochroleucus,1.35,0.4,56.5,1.02,2.32
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Lonicera_dioica,0.77,0.2,30.4,0.43,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Maianthemum_stellatum,1.17,0.33,52.2,0.84,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Monarda_fistulosa,1.46,0.4,21.7,0.68,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Oryzopsis_asperifolia,1.56,0.47,30.4,0.86,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Poa_interior,0.49,0.11,34.8,0.29,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Poa_pratensis,1.76,0.55,73.9,1.51,2.72
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Populus_tremuloides,11.77,2.14,100,11.77,4.77
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Prunus_virginiana,8.13,1.98,100,8.13,4.4
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Rosa_acicularis,8.43,1.93,30.4,4.65,3.84
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Rosa_woodsii,7.01,1.8,56.5,5.27,3.96
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Rubus_idaeus,1.67,0.49,47.8,1.16,2.45
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Schizachne_purpurascens,1.68,0.52,69.6,1.4,2.64
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Solidago_missouriensis,1.39,0.43,73.9,1.2,2.48
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Sporobolus_rigidus,1.71,0.56,47.8,1.18,2.47
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Symphoricarpos_albus,8.35,1.71,56.5,6.28,4.14
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Symphoricarpos_occidentalis,3.76,1.04,34.8,2.22,3.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Symphyotrichum_ciliolatum,0.81,0.22,34.8,0.48,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Symphyotrichum_laeve,0.64,0.12,43.5,0.42,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Taraxacum_officinale,0.51,0.1,56.5,0.38,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Thalictrum_venulosum,1.85,0.58,52.2,1.34,2.59
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Thermopsis_rhombifolia,1.68,0.43,82.6,1.53,2.73
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Vicia_americana,0.8,0.23,82.6,0.73,0.1
Alberta,CPD17,Prunus virginiana-Symphoricarpos occidentalis-Amelanchier alnifolia/Populus tremuloides,Choke cherry-Snowberry- Saskatoon/Aspen,Modified plant community,Viola_adunca,0.48,0.1,52.2,0.34,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Achillea_millefolium,0.92,0.21,40,0.58,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Agrostis_scabra,0.23,0.1,26.7,0.12,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Amelanchier_alnifolia,5.07,1.39,73.3,4.34,3.77
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Artemisia_ludoviciana,1.33,0.34,40,0.84,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Bromus_inermis,2.33,0.8,66.7,1.9,2.95
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Bromus_porteri,0.18,0.1,26.7,0.09,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Campanula_rotundifolia,0.22,0.1,33.3,0.13,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Carex,7.97,1.94,60,6.17,4.12
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Carex_siccata,9.26,2.14,46.7,6.32,4.15
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Cerastium_arvense,1.5,0.46,33.3,0.87,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Comandra_umbellata,0.44,0.1,33.3,0.25,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Elymus_trachycaulus,3.49,1.05,100,3.49,3.55
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Equisetum_hyemale,0.28,0.1,26.7,0.14,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Festuca_hallii,4.33,1.24,40,2.74,3.31
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Fragaria_virginiana,1.14,0.29,73.3,0.97,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Galium_boreale,3.37,1.06,100,3.37,3.52
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Hesperostipa_curtiseta,2.52,0.67,33.3,1.45,2.68
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Lathyrus_ochroleucus,2.64,0.8,73.3,2.26,3.12
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Lilium_philadelphicum,0.58,0.1,33.3,0.33,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Lonicera_dioica,1.3,0.4,26.7,0.67,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Maianthemum_stellatum,0.89,0.2,93.3,0.86,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Monarda_fistulosa,0.98,0.25,26.7,0.5,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Oryzopsis_asperifolia,4.9,1.39,40,3.1,3.43
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Poa_pratensis,4.74,1.3,86.7,4.41,3.79
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Populus_tremuloides,28.35,3.17,100,28.35,5.65
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Prunus_virginiana,5.53,1.49,80,4.94,3.9
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Ribes_oxyacanthoides,1.13,0.18,26.7,0.58,0.1
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Rosa_acicularis,13.86,2.21,46.7,9.47,4.55
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Rosa_woodsii,12.7,2.37,60,9.84,4.59
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Rubus_idaeus,2.44,0.78,86.7,2.27,3.12
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Salix_bebbiana,3.33,1.08,40,2.11,3.05
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Schizachne_purpurascens,2.88,0.81,80,2.58,3.25
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Solidago_canadensis,3,0.87,40,1.9,2.94
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Solidago_missouriensis,1.69,0.42,46.7,1.15,2.44
Alberta,CPD18,Symphoricarpos occidentalis/Populus tremuloides,Snowberry/Aspen,Modified plant community,Stellaria_longifolia,0.43,0.1,26.7,0.22,0.1
